Tanggal,Total 5 Hari (mm),Max Kering 15 Hari,Total 30 Hari (mm)
2024-05-01,69.5,6,327.1
2024-05-02,67.4,7,315.8
2024-05-03,68.1,8,319.6
2024-05-04,68.2,9,315.3
2024-05-05,70.5,10,311.8
2024-05-06,68.8,11,313.2
2024-05-07,57.3,12,306.8
2024-05-08,55.1,13,303.7
2024-05-09,49.5,14,294.5
2024-05-10,44.0,15,286.5
2024-05-11,48.9,15,286.1
2024-05-12,50.2,15,285.3
2024-05-13,51.1,15,283.1
2024-05-14,52.6,15,284.8
2024-05-15,55.7,15,286.1
2024-05-16,50.4,15,279.8
2024-05-17,52.3,15,276.8
2024-05-18,51.4,14,277.1
2024-05-19,50.4,13,277.3
2024-05-20,45.4,12,278.0
2024-05-21,43.5,11,284.2
2024-05-22,44.6,10,280.6
2024-05-23,42.9,9,279.3
2024-05-24,40.9,8,280.3
2024-05-25,41.4,7,285.4
2024-05-26,46.0,8,292.7
2024-05-27,44.1,9,291.5
2024-05-28,51.0,10,291.8
2024-05-29,53.8,11,291.5
2024-05-30,54.9,12,290.1
2024-05-31,55.6,13,290.9
2024-06-01,58.4,14,294.2
2024-06-02,52.2,15,286.2
2024-06-03,47.4,15,282.5
2024-06-04,45.2,15,279.6
2024-06-05,41.8,15,274.8
2024-06-06,35.8,15,272.0
2024-06-07,34.6,15,273.1
2024-06-08,39.8,15,279.6
2024-06-09,43.6,15,285.3
2024-06-10,42.5,15,289.6
2024-06-11,41.7,15,293.9
2024-06-12,45.0,15,298.5
2024-06-13,45.0,15,297.2
2024-06-14,47.6,15,299.0
2024-06-15,54.9,15,308.3
2024-06-16,56.1,15,315.0
2024-06-17,53.7,15,311.7
2024-06-18,53.4,15,308.0
2024-06-19,52.9,15,302.9
2024-06-20,52.0,15,301.7
2024-06-21,55.4,15,309.5
2024-06-22,55.3,15,313.8
2024-06-23,52.0,15,308.8
2024-06-24,46.0,15,309.8
2024-06-25,44.2,15,307.8
2024-06-26,46.8,15,309.6
2024-06-27,45.4,15,311.5
2024-06-28,44.9,15,311.4
2024-06-29,44.3,15,313.2
2024-06-30,39.4,14,313.4
2024-07-01,36.3,13,309.9
2024-07-02,39.0,12,312.8
2024-07-03,44.5,11,321.2
2024-07-04,50.9,10,327.9
2024-07-05,56.6,9,332.2
2024-07-06,57.7,8,334.2
2024-07-07,60.0,7,334.2
2024-07-08,57.4,6,331.1
2024-07-09,57.3,5,325.4
2024-07-10,61.1,5,323.9
2024-07-11,62.8,5,326.3
2024-07-12,58.3,5,322.0
2024-07-13,55.9,5,320.1
2024-07-14,51.5,5,322.4
2024-07-15,48.3,6,317.2
2024-07-16,50.5,7,317.9
2024-07-17,55.8,8,323.1
2024-07-18,54.1,8,321.4
2024-07-19,59.7,8,324.2
2024-07-20,58.1,8,323.5
2024-07-21,55.6,8,323.7
2024-07-22,53.0,8,321.6
2024-07-23,54.7,8,327.2
2024-07-24,49.5,8,334.0
2024-07-25,49.8,7,337.3
2024-07-26,47.0,8,335.1
2024-07-27,46.6,9,342.6
2024-07-28,54.6,10,353.7
2024-07-29,58.9,10,356.7
2024-07-30,58.3,10,354.5
2024-07-31,60.7,10,355.8
2024-08-01,60.4,10,357.5
2024-08-02,54.4,10,350.2
2024-08-03,48.5,9,347.9
2024-08-04,48.3,8,355.2
2024-08-05,49.7,7,351.1
2024-08-06,47.8,6,348.6
2024-08-07,46.4,6,351.5
2024-08-08,54.3,6,358.1
2024-08-09,54.4,6,364.1
2024-08-10,54.4,6,362.0
2024-08-11,59.4,6,364.7
2024-08-12,57.1,6,369.1
2024-08-13,53.3,6,365.5
2024-08-14,54.6,5,363.6
2024-08-15,56.3,4,361.3
2024-08-16,54.4,3,359.1
2024-08-17,60.0,3,361.9
2024-08-18,69.6,3,358.6
2024-08-19,72.0,3,357.4
2024-08-20,67.0,3,358.0
