Tanggal,Total 5 Hari (mm),Max Kering 15 Hari,Total 30 Hari (mm),Label RBS,Label Aktual
2014-05-01,59.9,2,389.4,hijau,
2014-05-02,62.8,2,384.1,hijau,
2014-05-03,72.3,2,401.6,hijau,
2014-05-04,74.8,2,404.2,hijau,
2014-05-05,75.2,2,396.2,hijau,
2014-05-06,82.2,2,405.2,hijau,
2014-05-07,77.3,2,408.6,hijau,
2014-05-08,71.2,2,413.9,hijau,
2014-05-09,76.2,2,396.7,hijau,
2014-05-10,69.8,2,379.8,hijau,
2014-05-11,92.8,2,367.1,hijau,
2014-05-12,86.1,2,359.5,hijau,
2014-05-13,84.3,2,353.5,hijau,
2014-05-14,79.5,2,344.7,hijau,
2014-05-15,84.2,2,339.5,hijau,
2014-05-16,47.6,3,315.4,hijau,
2014-05-17,64.2,4,321.7,hijau,
2014-05-18,60.5,4,315.8,hijau,
2014-05-19,58.6,4,303.9,hijau,
2014-05-20,49.4,4,294.2,kuning,
2014-05-21,37.2,4,320.6,kuning,
2014-05-22,29.8,4,308.4,kuning,
2014-05-23,54.3,4,308.9,hijau,
2014-05-24,48.4,4,307.2,hijau,
2014-05-25,48.6,4,312.5,hijau,
2014-05-26,69.7,4,331.1,hijau,
2014-05-27,63.9,4,342.8,hijau,
2014-05-28,59.1,5,325.8,hijau,
2014-05-29,66.6,6,338.1,hijau,
2014-05-30,69.1,7,358.5,hijau,
2014-05-31,75.7,7,356.3,hijau,
2014-06-01,87.2,7,365.9,hijau,
2014-06-02,84.5,7,353.9,hijau,
2014-06-03,67.3,7,350.5,hijau,
2014-06-04,58.8,7,356.8,hijau,
2014-06-05,44.1,7,356.1,hijau,
2014-06-06,28.2,7,383.1,kuning,
2014-06-07,10.7,7,368.9,kuning,
2014-06-08,24.2,6,414.0,kuning,
2014-06-09,29.5,5,439.5,kuning,
2014-06-10,41.1,4,469.4,hijau,
2014-06-11,48.3,4,489.8,hijau,
2014-06-12,46.6,4,493.0,hijau,
2014-06-13,38.7,4,487.8,hijau,
2014-06-14,38.9,4,504.0,hijau,
2014-06-15,52.9,4,502.5,hijau,
2014-06-16,50.9,3,507.1,hijau,
2014-06-17,53.7,3,516.1,hijau,
2014-06-18,61.9,4,522.1,hijau,
2014-06-19,67.7,4,524.1,hijau,
2014-06-20,47.6,4,508.3,hijau,
2014-06-21,64.2,4,510.5,hijau,
2014-06-22,71.3,4,519.9,hijau,
2014-06-23,79.3,4,519.0,hijau,
2014-06-24,94.6,4,519.5,hijau,
2014-06-25,94.9,4,518.5,hijau,
2014-06-26,87.0,4,510.1,hijau,
2014-06-27,87.2,4,511.3,hijau,
2014-06-28,79.1,4,509.7,hijau,
2014-06-29,67.4,4,485.6,hijau,
2014-06-30,75.5,3,475.2,hijau,
2014-07-01,104.4,2,459.8,hijau,
2014-07-02,99.5,2,469.8,hijau,
2014-07-03,130.7,3,505.3,hijau,
2014-07-04,141.5,4,506.2,hijau,
2014-07-05,157.4,4,495.6,hijau,
2014-07-06,134.9,4,460.0,hijau,
2014-07-07,134.8,4,457.4,hijau,
2014-07-08,98.1,4,427.2,hijau,
2014-07-09,94.0,4,411.4,hijau,
2014-07-10,74.2,4,397.4,hijau,
2014-07-11,65.7,4,396.5,hijau,
2014-07-12,69.7,4,402.3,hijau,
2014-07-13,73.0,4,403.8,hijau,
2014-07-14,59.0,4,404.8,hijau,
2014-07-15,58.6,4,421.5,hijau,
