Tanggal,Total 5 Hari (mm),Max Kering 15 Hari,Total 30 Hari (mm),Label RBS,Label Aktual
2024-05-01,69.5,6,325.2,hijau,
2024-05-02,67.7,7,314.2,hijau,
2024-05-03,68.1,8,317.7,hijau,
2024-05-04,68.0,9,313.3,hijau,
2024-05-05,70.1,10,309.8,hijau,
2024-05-06,68.3,11,311.1,kuning,
2024-05-07,56.9,12,304.9,kuning,
2024-05-08,54.7,13,301.7,kuning,
2024-05-09,49.2,14,292.7,kuning,
2024-05-10,43.6,15,284.8,kuning,
2024-05-11,48.5,15,284.6,kuning,
2024-05-12,49.8,15,283.7,kuning,
2024-05-13,50.9,15,281.5,kuning,
2024-05-14,52.4,15,283.1,kuning,
2024-05-15,55.7,15,284.3,kuning,
2024-05-16,50.6,15,278.0,kuning,
2024-05-17,52.4,15,275.0,kuning,
2024-05-18,51.5,14,275.1,kuning,
2024-05-19,50.2,13,275.2,kuning,
2024-05-20,45.1,12,275.9,kuning,
2024-05-21,43.1,11,282.3,kuning,
2024-05-22,43.9,10,278.9,kuning,
2024-05-23,42.1,9,277.7,kuning,
2024-05-24,40.1,8,278.9,kuning,
2024-05-25,40.6,7,284.1,kuning,
2024-05-26,45.3,8,291.5,kuning,
2024-05-27,43.6,9,290.4,kuning,
2024-05-28,50.4,10,290.8,kuning,
2024-05-29,53.4,11,290.7,kuning,
2024-05-30,54.6,12,289.5,kuning,
2024-05-31,55.4,13,290.3,kuning,
2024-06-01,58.3,14,293.5,kuning,
2024-06-02,52.1,15,285.6,kuning,
2024-06-03,47.4,15,282.0,kuning,
2024-06-04,45.1,15,279.1,kuning,
2024-06-05,41.8,15,274.4,kuning,
2024-06-06,35.8,15,271.6,merah,
2024-06-07,34.5,15,272.5,merah,
2024-06-08,39.7,15,278.9,kuning,
2024-06-09,43.2,15,284.6,kuning,
2024-06-10,41.9,15,288.9,kuning,
2024-06-11,41.1,15,293.4,kuning,
2024-06-12,44.5,15,298.1,kuning,
2024-06-13,44.5,15,297.0,kuning,
2024-06-14,47.3,15,299.1,kuning,
2024-06-15,54.8,15,308.4,kuning,
2024-06-16,56.2,15,315.2,kuning,
2024-06-17,54.0,15,312.0,kuning,
2024-06-18,53.9,15,308.5,kuning,
2024-06-19,53.3,15,303.6,kuning,
2024-06-20,52.3,15,302.0,kuning,
2024-06-21,55.4,15,309.3,kuning,
2024-06-22,55.2,15,313.3,kuning,
2024-06-23,51.9,15,308.1,kuning,
2024-06-24,46.0,15,309.2,kuning,
2024-06-25,44.1,15,307.2,kuning,
2024-06-26,46.7,15,309.1,kuning,
2024-06-27,45.3,15,311.0,kuning,
2024-06-28,44.7,15,310.8,kuning,
2024-06-29,44.2,15,312.7,kuning,
2024-06-30,39.5,14,312.9,kuning,
